Year,AverageTemperature,AverageTemperatureUncertainty,UpperBound,LowerBound
1743,5.18414,2.18352,7.367660000000001,3.00062
1744,9.8378975,2.1363024999999998,11.9742,7.701595000000001
1745,1.3871250000000002,1.96059,3.347715,-0.5734649999999999
1750,9.129352727272728,2.1037945454545453,11.233147272727273,7.025558181818183
1751,9.1673875,2.0532175,11.220605,7.11417
1752,4.413386666666667,2.1978933333333335,6.611280000000001,2.2154933333333333
1753,8.87082075471698,3.7469182389937106,12.617738993710692,5.12390251572327
1754,8.822018957345971,3.4138578199052136,12.235876777251185,5.408161137440757
1755,8.530536277602524,4.450228706624606,12.980764984227129,4.080307570977918
1756,9.17988625592417,4.309576619273302,13.489462875197471,4.870309636650869
1757,8.993332283464566,5.6012661417322835,14.59459842519685,3.3920661417322826
1758,8.130370542635658,5.80491007751938,13.935280620155037,2.3254604651162785
1759,9.261257716049382,5.617140432098766,14.878398148148147,3.6441172839506164
1760,8.53208176100629,4.7995283018867925,13.331610062893084,3.732553459119498
1761,8.940669242658425,3.948183925811437,12.888853168469861,4.992485316846988
1762,8.517924148606811,4.888283281733746,13.406207430340558,3.629640866873065
1763,8.086262422360248,4.1552934782608695,12.241555900621117,3.9309689440993782
1764,8.845587869362364,4.221034214618974,13.066622083981336,4.62455365474339
1765,8.503952086553323,3.5527959814528596,12.056748068006183,4.951156105100463
1766,8.620333333333333,4.1630972222222224,12.783430555555555,4.4572361111111105
1767,8.208010819165379,5.160842349304482,13.368853168469862,3.047168469860897
1768,7.875816964285714,5.426372023809524,13.302188988095239,2.44944494047619
1769,8.441631964809384,4.610617302052786,13.05224926686217,3.8310146627565977
1770,8.608895454545454,5.801928787878788,14.410824242424242,2.806966666666666
1771,8.429763636363637,4.871857575757575,13.301621212121212,3.5579060606060615
1772,9.105813271604939,4.758361111111111,13.864174382716051,4.347452160493828
1773,9.080228310502283,3.308369863013699,12.388598173515982,5.771858447488585
1774,8.403788109756098,5.36417987804878,13.767967987804878,3.0396082317073176
1775,9.307762589928059,3.479738129496403,12.787500719424461,5.828024460431656
1776,8.210426491994177,3.828244541484716,12.038671033478893,4.382181950509461
1777,8.102558739255015,3.2538381088825217,11.356396848137535,4.848720630372493
1778,8.707566568047337,3.7448668639053255,12.452433431952663,4.962699704142011
1779,9.2313174366617,4.300627421758569,13.531944858420268,4.9306900149031305
1780,8.83174251497006,3.4226856287425145,12.254428143712573,5.409056886227545
1781,9.095413742690058,4.142741228070176,13.238154970760235,4.952672514619882
1782,7.793591630591631,4.788334776334777,12.581926406926407,3.005256854256854
1783,8.957380809595202,3.832346326836582,12.789727136431784,5.12503448275862
1784,7.977893939393939,5.338112121212121,13.31600606060606,2.6397818181818185
1785,7.753425149700598,4.033025449101797,11.786450598802395,3.7203997005988008
1786,7.96315625,4.475325892857143,12.438482142857143,3.4878303571428573
1787,10.600193333333333,4.418786666666667,15.018979999999999,6.181406666666667
1788,9.915709141274238,3.398781163434903,13.31449030470914,6.516927977839336
1789,10.551814578005116,3.15496547314578,13.706780051150897,7.396849104859336
1790,10.938674934725848,3.396424281984334,14.335099216710182,7.542250652741513
1791,11.380044554455447,2.8100470297029703,14.190091584158417,8.569997524752477
1792,10.512480964467006,2.8713147208121828,13.383795685279189,7.641166243654823
1793,9.630539215686275,4.016572829131653,13.647112044817927,5.613966386554622
1794,10.270525730180806,3.839685674547983,14.110211404728789,6.430840055632823
1795,9.371622881355933,3.995059322033898,13.36668220338983,5.376563559322035
